#EventID | Time | Latitude | Longitude | Depth/km | Author | Catalog | Contributor | ContributorID | MagType | Magnitude | MagAuthor | EventLocationName
10560640|2017-12-05T04:26:38|36.3731|-97.1491|3.3|us|NEIC PDE|us|us1000bm9m|Mwr|4.2|us|OKLAHOMA
10450477|2017-10-31T09:50:51|36.0422|-97.9035|3.39|us|NEIC PDE|us|us1000ayy1|mb_Lg|4.1|us|OKLAHOMA
10402097|2017-09-08T02:26:23|36.6996|-97.683|6.073|us|NEIC PDE|us|us2000ahub|Mwr|4.3|us|OKLAHOMA
10387387|2017-08-03T02:56:37|35.672|-97.4047|5.031|us|NEIC PDE|us|us2000a3y4|Mwr|4.2|us|OKLAHOMA
10275575|2017-07-14T13:47:35|35.8591|-96.6833|6.813|us|NEIC PDE|us|us20009wba|Mwr|4.2|us|OKLAHOMA
10157143|2017-05-13T08:32:37|36.4782|-98.7365|5.367|us|NEIC PDE|us|us10008s4j|Mwr|4.2|us|OKLAHOMA
10045213|2017-03-29T15:37:40|36.815|-97.6114|2.767|us|NEIC PDE|us|us20008vls|Mwr|4.1|us|OKLAHOMA
5198782|2016-11-25T15:19:35|36.8169|-97.7529|6.06|us|NEIC PDE|us|us10007cas|mb_Lg|4.3|us|OKLAHOMA
5198498|2016-11-22T09:55:33|35.9993|-96.7646|5.0|us|NEIC PDE|us|us10007bdl|mb_lg|4.0||OKLAHOMA
5197189|2016-11-07T01:44:24|35.9907|-96.803|4.43|us|NEIC PDE|us|us100075y8|Mww|5.0|us|OKLAHOMA
5196809|2016-11-02T04:26:54|36.3077|-96.6472|2.56|us|NEIC PDE|us|us100073m6|Mwr|4.5|us|OKLAHOMA
5196071|2016-10-21T20:26:00|36.4493|-98.7758|7.081|us|NEIC PDE|us|us20007g02|Mwr|4.0|us|OKLAHOMA
5192223|2016-09-03T12:02:44|36.4251|-96.9291|5.557|us,gcmt|NEIC PDE|us|us10006jxs,gcmt20160903120244|Mww|5.8|us|OKLAHOMA
5190730|2016-08-17T13:34:29|35.6867|-97.1082|1.18|us|NEIC PDE||us10006eew|mwr|4.0|us|OKLAHOMA
5190672|2016-08-17T02:39:05|36.2476|-98.4451|6.075|us|NEIC PDE||us10006ebk|ml|4.1|us|OKLAHOMA
5190317|2016-08-12T05:27:10|36.6602|-98.0867|6.419|us|NEIC PDE||us10006d79|mb|4.1|us|OKLAHOMA
5190141|2016-08-10T11:04:49|35.6771|-97.1894|5.0|us|NEIC PDE||us10006ckm|mb_lg|4.0|us|OKLAHOMA
5188102|2016-07-17T04:17:58|36.2841|-97.5138|4.787|us|NEIC PDE||us20006fas|mwr|4.2|us|OKLAHOMA
5187372|2016-07-09T02:04:27|36.4638|-98.7584|7.242|us|NEIC PDE||us10006249|mwr|4.4|us|OKLAHOMA
